,benchmark,conf_effective_cache_size,conf_effective_io_concurrency,conf_maintenance_work_mem,conf_max_parallel_workers,conf_random_page_cost,conf_seq_page_cost,conf_temp_buffers,conf_work_mem,queryTime_1,queryTime_10,queryTime_11,queryTime_12,queryTime_13,queryTime_14,queryTime_15,queryTime_16,queryTime_17_rewritten,queryTime_19,queryTime_2,queryTime_20_rewritten,queryTime_22,queryTime_3,queryTime_4,queryTime_5,queryTime_6,queryTime_7,queryTime_8,queryTime_9,queryTime_Total,scale_factor,timestamp
49,tpch,3GB,80.0,7965MB,6.0,9.0,9.0,960MB,3069MB,59.12846612930298,11.137038946151733,3.7015256881713863,10.089273214340212,18.72038722038269,10.41152048110962,15.215127229690552,7.197065830230713,15.63581657409668,9.970954895019533,5.265315055847168,7.553444385528564,3.56437087059021,9.802546977996826,17.590523719787598,10.065546989440918,7.387419700622559,9.653029918670654,8.688291549682617,22.27174401283264,263.04940938949585,10.0,1560109387
50,tpch,5GB,51.0,7417MB,5.0,14.0,9.0,243MB,1815MB,58.40159893035889,12.89488434791565,3.622538566589356,9.975128173828123,19.04767632484436,10.67020034790039,15.315002679824829,8.805269718170166,14.429746627807615,9.730004549026491,5.100148677825928,7.977611303329468,3.6607935428619385,14.408089637756348,14.87260913848877,10.963433980941772,7.438030242919923,10.941672801971436,9.253955364227297,22.189460039138797,269.6978549957276,10.0,1560109730
51,tpch,4GB,116.0,7511MB,7.0,6.0,7.0,112MB,1410MB,57.62744927406311,11.015751123428345,3.290316104888916,9.941848754882812,21.586779356002808,10.253379821777344,14.637564182281494,9.232938289642334,14.941351175308228,9.417458534240724,4.992643356323242,7.554636478424072,3.835692644119263,15.717427968978882,15.95396637916565,10.319963455200195,7.3811421394348145,9.645131587982178,9.115684509277344,20.51425719261169,266.97538232803345,10.0,1560110067
0,tpch,4GB,1.0,64MB,8.0,4.0,1.0,8MB,4MB,41.10179448127747,6.13490629196167,1.1461825370788574,4.461759328842163,12.650962591171265,4.357644557952882,6.787811756134032,6.30714225769043,7.4821722507476816,6.950033187866211,0.9586458206176758,3.2556405067443848,1.892446994781494,6.683637857437134,63.567408084869385,11.411694765090942,3.3186686038970947,6.364071130752564,13.083457231521606,14.501078605651855,222.41715884208682,5.0,1560218452
1,tpch,4GB,1.0,64MB,8.0,4.0,1.0,8MB,4MB,45.60809111595154,6.053704023361206,1.1357970237731934,4.3100857734680185,12.26727557182312,4.593473434448242,6.670396327972412,3.6589019298553462,7.578850269317628,6.595671653747559,0.8549489974975586,3.2927956581115723,1.901796102523804,7.042866468429565,64.58137679100037,11.529099941253662,3.280153512954712,6.098360061645508,4.663764715194702,15.49485182762146,217.21226119995117,5.0,1560218702
2,tpch,8GB,194.0,2200MB,5.0,4.0,2.0,785MB,3191MB,27.106656312942505,12.765053749084473,1.1832849979400637,4.475443840026856,8.643522024154661,4.46220850944519,6.889879941940308,3.8283889293670654,7.2597405910491934,7.168772220611572,0.8314862251281738,3.6064631938934326,1.7488489151000977,4.75861668586731,64.17835307121278,7.575836420059204,3.3909192085266118,6.348673105239867,3.5950160026550293,15.121886968612671,194.93905091285703,5.0,1560218930
3,tpch,3GB,157.0,7178MB,8.0,2.0,10.0,656MB,1030MB,27.66782641410828,12.794888496398926,1.4380083084106443,4.503424644470215,8.772103309631348,4.928568363189697,6.757708549499513,3.865154266357422,7.19930624961853,6.753323554992676,0.9521241188049316,11.490493535995483,1.8244581222534182,4.5362584590911865,62.057603359222405,7.321568250656128,3.465937852859497,6.161942958831787,3.5902018547058105,9.786797046661377,195.86769771575928,5.0,1560219158
4,tpch,8GB,77.0,18MB,4.0,10.0,15.0,191MB,3354MB,27.97628474235535,12.55886697769165,1.6407604217529297,4.529268503189087,8.773977756500244,4.628034830093384,7.09427285194397,4.178577423095703,7.89136266708374,7.0363829135894775,0.5051059722900391,11.214555263519287,1.7872018814086914,4.996031999588013,61.30769419670105,12.578059911727905,3.564610719680786,6.5032958984375,3.762071371078491,14.54137897491455,207.06779527664185,5.0,1560219399
5,tpch,8GB,241.0,7833MB,8.0,12.0,12.0,492MB,3690MB,27.64787745475769,12.397983074188232,1.4995002746582031,4.575928211212158,9.23712682723999,4.53791356086731,6.772205114364624,3.583252429962158,7.914715051651001,7.122016429901122,0.3578720092773437,11.757154941558838,1.702629327774048,4.618430376052856,61.64036059379578,13.19020962715149,3.5739903450012207,6.2017576694488525,3.741875648498535,14.312512636184692,206.38531160354614,5.0,1560219638
6,tpch,7GB,161.0,600MB,6.0,14.0,11.0,286MB,3877MB,27.71907210350037,12.597744703292847,1.5385096073150637,4.338235378265382,8.722155094146729,4.3445866107940665,7.2283973693847665,3.3148877620697017,7.952951431274414,7.0718626976013175,0.4023246765136719,11.527478456497192,1.75103497505188,4.6248042583465585,61.9554545879364,13.080741167068481,3.418337345123291,6.174600601196289,3.8183684349060063,14.586988687515259,206.16853594779968,5.0,1560219879
