,benchmark,conf_effective_cache_size,conf_effective_io_concurrency,conf_maintenance_work_mem,conf_max_parallel_workers,conf_random_page_cost,conf_seq_page_cost,conf_temp_buffers,conf_work_mem,queryTime_1,queryTime_10,queryTime_11,queryTime_12,queryTime_13,queryTime_14,queryTime_15,queryTime_16,queryTime_17_rewritten,queryTime_19,queryTime_2,queryTime_20_rewritten,queryTime_22,queryTime_3,queryTime_4,queryTime_5,queryTime_6,queryTime_7,queryTime_8,queryTime_9,queryTime_Total,scale_factor,timestamp
30,tpch,4GB,61.0,7492MB,4.0,16.0,9.0,216MB,1951MB,59.33956551551819,13.928141593933105,3.2060720920562744,12.481062412261963,17.584168672561646,10.487608909606934,15.743576049804688,6.956818103790283,15.84790301322937,9.912559509277344,4.984888792037964,7.892424583435059,3.9656195640563965,15.559265851974487,13.50134563446045,10.579124689102173,7.419597625732422,10.514724493026733,9.13337755203247,22.61946129798889,271.65730595588684,10.0,1560102255
31,tpch,4GB,90.0,4161MB,4.0,9.0,16.0,456MB,2387MB,59.06138062477112,16.259129762649536,3.2946951389312744,10.50951337814331,19.066868782043457,10.906304121017456,16.393048763275146,9.208675146102905,15.293178081512451,9.614544153213501,7.175422430038452,8.305774688720703,3.718987464904785,9.942492961883545,18.166717290878296,11.436980724334717,6.9011571407318115,10.505728960037231,17.994814157485962,22.814319610595703,286.56973338127136,10.0,1560102611
32,tpch,7GB,224.0,3145MB,7.0,4.0,13.0,823MB,230MB,57.717798709869385,12.172691345214844,4.080078601837158,9.43977689743042,18.963999271392822,10.376169204711914,20.186052560806274,9.230525732040405,15.735153436660767,9.347750186920166,7.337727785110474,7.622314929962158,4.73237943649292,9.508869886398315,164.00531315803528,9.660613059997559,7.217519044876099,10.989358901977539,9.291084051132202,21.03843355178833,418.65360975265503,10.0,1560106607
33,tpch,3GB,177.0,6248MB,4.0,7.0,13.0,119MB,3363MB,58.7990140914917,12.127333402633667,5.046896696090698,10.40730595588684,22.14393377304077,10.545344352722168,17.059305667877197,8.87863039970398,15.526638746261597,10.255558013916016,7.130061388015747,8.724623203277588,4.453260660171509,10.177007675170898,15.35146975517273,11.0578293800354,7.23299765586853,9.60135293006897,8.816034317016602,22.554532766342163,275.88913083076477,10.0,1560095863
34,tpch,2GB,180.0,2367MB,1.0,12.0,10.0,594MB,60MB,62.383949518203735,11.00758957862854,3.3929378986358643,9.990173101425171,16.432919025421143,11.096676588058472,24.16408133506775,8.222992420196533,14.852738380432129,10.61442255973816,5.876198053359985,8.603053569793701,8.014388799667358,11.399491548538208,35.105417013168335,11.976634502410889,8.216297388076782,11.321600437164307,9.99424147605896,25.405319929122925,308.07112312316895,10.0,1560096240
35,tpch,7GB,177.0,3392MB,8.0,12.0,8.0,833MB,3422MB,57.156219244003296,11.036462306976318,3.937408208847046,10.158178806304932,21.61955761909485,10.448649883270264,14.5033597946167,8.962751388549805,14.550856590270996,10.465030670166016,5.160621643066406,7.826010227203369,3.8350038528442383,15.693708419799805,19.22289490699768,10.22231125831604,7.566248893737793,10.16861629486084,8.938922643661499,20.562748432159424,272.0355610847473,10.0,1560100882
36,tpch,6GB,23.0,7613MB,8.0,11.0,14.0,538MB,1094MB,59.208651304244995,10.759283065795898,3.1835172176361084,10.28340196609497,21.851558446884155,10.362305641174316,16.090832471847534,9.777445077896118,14.258798837661743,10.49901819229126,5.114446640014648,7.755077123641968,3.8480749130249023,12.696752071380615,17.292490005493164,10.646082162857056,7.637951374053955,10.06041431427002,11.478293895721436,22.892994165420532,275.6973888874054,10.0,1560101571
37,tpch,8GB,57.0,175MB,5.0,8.0,6.0,117MB,1420MB,57.74951195716858,13.197365045547485,3.7294743061065674,9.65154767036438,18.842819690704346,10.543838024139404,15.269694089889526,7.862484693527222,14.386873245239258,10.547735214233398,4.9587719440460205,7.991612672805786,3.694420576095581,15.89069128036499,20.812411308288574,12.728784322738647,6.890650749206543,10.561984062194824,15.368125438690186,21.874327898025513,282.55312418937683,10.0,1560099817
38,tpch,6GB,115.0,6096MB,7.0,6.0,6.0,52MB,1076MB,58.37895965576172,10.683024406433105,4.35197377204895,10.729778528213501,21.890177488327026,10.734374523162842,14.67596173286438,9.116613626480103,15.628388166427612,9.789002656936646,5.083729267120361,7.611399173736572,3.9424517154693604,15.154688358306885,20.552334547042847,10.751440286636353,7.182651996612549,10.346732139587402,9.365351676940918,20.769230842590332,276.73826456069946,10.0,1560100517
39,tpch,8GB,96.0,5072MB,2.0,12.0,1.0,346MB,2823MB,57.868526220321655,12.42420220375061,3.626981735229492,12.05593752861023,18.90808391571045,10.58616018295288,21.305540084838867,7.176237344741821,15.744253158569336,10.139381170272827,5.044665336608887,8.116583108901978,6.8523850440979,13.225409269332886,15.139171123504639,10.484024286270142,7.050122976303101,10.147114753723145,9.696499586105347,20.461617708206177,276.05289673805237,10.0,1560096585
40,tpch,5GB,27.0,7332MB,4.0,11.0,16.0,561MB,1465MB,59.756858110427856,14.373836755752563,5.536701679229736,9.720855474472046,21.994199991226196,11.049852848052979,17.147799253463745,9.525099515914917,15.27004098892212,9.868086576461792,7.69153618812561,8.112175226211548,3.961516857147217,9.722134590148926,15.426947355270386,11.012075185775757,7.446178197860718,10.556777715682983,8.915061473846436,22.549646854400635,279.63738083839417,10.0,1560100171
